Timestamp (s),Master TCP X,Master TCP Y,Master TCP Z,Follower TCP X,Follower TCP Y,Follower TCP Z
0.005599021911621094,0.35031824751933843,-0.11993689794782746,0.3773911405682555,0.3098344095085471,-0.3106316562150933,0.3810181570228752
0.007882833480834961,0.35031824751933843,-0.11993689794782746,0.3773911405682555,0.3098344095085471,-0.3106316562150933,0.3810181570228752
0.010094881057739258,0.35031824751933843,-0.11993689794782746,0.3773911405682555,0.3098344095085471,-0.3106316562150933,0.3810181570228752
0.012356996536254883,0.35031824751933843,-0.11993689794782746,0.3773911405682555,0.3098344095085471,-0.3106316562150933,0.3810181570228752
0.014546871185302734,0.3503316682520636,-0.11991376679561516,0.37740122234827606,0.3098506698595964,-0.31062130052461745,0.38099692578686756
0.01680159568786621,0.3503316682520636,-0.11991376679561516,0.37740122234827606,0.3098506698595964,-0.31062130052461745,0.38099692578686756
0.01901984214782715,0.3503316682520636,-0.11991376679561516,0.37740122234827606,0.3098506698595964,-0.31062130052461745,0.38099692578686756
0.021231889724731445,0.3503316682520636,-0.11991376679561516,0.37740122234827606,0.3098506698595964,-0.31062130052461745,0.38099692578686756
0.0234375,0.35031812164706116,-0.11994832476877226,0.3773919378147899,0.30986418654389486,-0.31060977374401316,0.38100651929660256
0.02573680877685547,0.35031812164706116,-0.11994832476877226,0.3773919378147899,0.30986418654389486,-0.31060977374401316,0.38100651929660256
0.027955293655395508,0.35031812164706116,-0.11994832476877226,0.3773919378147899,0.30986418654389486,-0.31060977374401316,0.38100651929660256
0.031214237213134766,0.3503183416825725,-0.11993529352946818,0.37737978605544364,0.3098969337685363,-0.3105648770285456,0.38103320973561966
0.03354167938232422,0.3503183416825725,-0.11993529352946818,0.37737978605544364,0.3098969337685363,-0.3105648770285456,0.38103320973561966
0.03594517707824707,0.3503183416825725,-0.11993529352946818,0.37737978605544364,0.3098969337685363,-0.3105648770285456,0.38103320973561966
0.03824567794799805,0.3503167666071406,-0.11993503235803027,0.3773782747723863,0.30990967501683037,-0.31053768276641225,0.3810099704181277
0.040505409240722656,0.3503167666071406,-0.11993503235803027,0.3773782747723863,0.30990967501683037,-0.31053768276641225,0.3810099704181277
0.04283928871154785,0.3503167666071406,-0.11993503235803027,0.3773782747723863,0.30990967501683037,-0.31053768276641225,0.3810099704181277
0.04509115219116211,0.3503167666071406,-0.11993503235803027,0.3773782747723863,0.30990967501683037,-0.31053768276641225,0.3810099704181277
0.047470808029174805,0.35031869368196006,-0.11992663499223126,0.37737652865950855,0.3099688319765563,-0.3104579499736005,0.3810074671298788
0.05057168006896973,0.35031869368196006,-0.11992663499223126,0.37737652865950855,0.3099688319765563,-0.3104579499736005,0.3810074671298788
0.05287289619445801,0.35031869368196006,-0.11992663499223126,0.37737652865950855,0.3099688319765563,-0.3104579499736005,0.3810074671298788
0.055161237716674805,0.35031727549667,-0.11993582144754067,0.3774065308729256,0.3100308666409904,-0.3103786832291363,0.3810141637583343
0.057387351989746094,0.35031727549667,-0.11993582144754067,0.3774065308729256,0.3100308666409904,-0.3103786832291363,0.3810141637583343
0.059676408767700195,0.35031727549667,-0.11993582144754067,0.3774065308729256,0.3100308666409904,-0.3103786832291363,0.3810141637583343
0.0619359016418457,0.350314464453341,-0.11993991835671466,0.3774040156483015,0.3101233218809406,-0.31027746318190297,0.38103321515559
0.06421685218811035,0.350314464453341,-0.11993991835671466,0.3774040156483015,0.3101233218809406,-0.31027746318190297,0.38103321515559
0.06647634506225586,0.350314464453341,-0.11993991835671466,0.3774040156483015,0.3101233218809406,-0.31027746318190297,0.38103321515559
0.06876420974731445,0.350314464453341,-0.11993991835671466,0.3774040156483015,0.3101233218809406,-0.31027746318190297,0.38103321515559
0.07102155685424805,0.350328396523754,-0.11992273740790332,0.37740247691785794,0.31021164448893723,-0.31017574596665676,0.38102793514158434
0.07330584526062012,0.350328396523754,-0.11992273740790332,0.37740247691785794,0.31021164448893723,-0.31017574596665676,0.38102793514158434
0.07556271553039551,0.350328396523754,-0.11992273740790332,0.37740247691785794,0.31021164448893723,-0.31017574596665676,0.38102793514158434
0.07789444923400879,0.3503204435942388,-0.11994887068098829,0.3773803686336269,0.31032908559967853,-0.3100342469070791,0.3810100471024329
0.08015680313110352,0.3503204435942388,-0.11994887068098829,0.3773803686336269,0.31032908559967853,-0.3100342469070791,0.3810100471024329
0.08246636390686035,0.3503204435942388,-0.11994887068098829,0.3773803686336269,0.31032908559967853,-0.3100342469070791,0.3810100471024329
0.0847482681274414,0.3503204435942388,-0.11994887068098829,0.3773803686336269,0.31032908559967853,-0.3100342469070791,0.3810100471024329
0.08698439598083496,0.35030282410779023,-0.11994450313388302,0.37740914336159676,0.3104567215121162,-0.3098637769396615,0.38105019347851166
0.0892493724822998,0.35030282410779023,-0.11994450313388302,0.37740914336159676,0.3104567215121162,-0.3098637769396615,0.38105019347851166
0.09147834777832031,0.35030282410779023,-0.11994450313388302,0.37740914336159676,0.3104567215121162,-0.3098637769396615,0.38105019347851166
0.09384703636169434,0.35032551859169897,-0.11993618580127577,0.37737913483506963,0.3106201502152733,-0.30970632948519505,0.38098687424911926
0.09615302085876465,0.35032551859169897,-0.11993618580127577,0.37737913483506963,0.3106201502152733,-0.30970632948519505,0.38098687424911926
0.09840750694274902,0.35032551859169897,-0.11993618580127577,0.37737913483506963,0.3106201502152733,-0.30970632948519505,0.38098687424911926
0.10074567794799805,0.35032551859169897,-0.11993618580127577,0.37737913483506963,0.3106201502152733,-0.30970632948519505,0.38098687424911926
